ra,dec
 200.9760895, -15.4455137
 209.9279022, -15.4279957
 210.4456482, -15.4192047
 210.0958557, -15.3774385
 205.2675476, -15.3760948
 209.2635956, -15.3729143
 209.5632019, -15.3689089
 210.5819702, -15.3510733
 204.69104, -15.3076906
 211.4871826, -15.2986345
 209.6059113, -15.2870226
 209.0769958, -15.2644482
 209.7882233, -15.2382755
 209.3139801, -15.2210808
 210.1358643, -15.2118158
 209.7588501, -15.2116652
 211.1320496, -15.2038517
 210.3667145, -15.2036438
 210.9294281, -15.2001257
 211.2052612, -15.1879444
 203.575592, -15.1818295
 203.596344, -15.181325
 209.7245789, -15.1517353
 209.5763397, -15.1503286
 210.223587, -15.1414709
 203.8557739, -15.1358719
 210.6785278, -15.1321468
 210.21698, -15.1279259
 210.6409607, -15.1207371
 210.6528473, -15.1205206
 209.3285675, -15.1168413
 209.3516083, -15.115468
 204.4213409, -15.1041336
 210.5947571, -15.0882549
 209.8488159, -15.0878372
 204.2081909, -15.0876446
 204.4368591, -15.0866184
 210.5705261, -15.0851688
 209.7809601, -15.0842428
 203.6826172, -15.078619
 204.4310608, -15.0781403
 209.3807831, -15.0744991
 204.2950439, -15.0710783
 210.6355896, -15.0692959
 209.5570526, -15.0634804
 210.7142944, -15.0610352
 204.1286469, -15.0594559
 209.8749847, -15.0583677
 210.6013336, -15.0580482
 209.8753967, -15.0568457
 209.7541656, -15.0527649
 210.4908905, -15.0492563
 210.0821075, -15.0482864
 211.2963562, -15.0449619
 209.2521973, -15.0420389
 204.2836304, -15.0420198
 209.8250732, -15.0371103
 209.8043823, -15.0315084
 210.2376099, -15.0267534
 209.5658569, -15.0266361
 205.3309937, -15.0226202
 203.7753601, -15.0185442
 204.928772, -15.0136452
 209.5271759, -15.0124331
 210.761322, -15.0122337
 202.4792633, -15.0085478
 210.4167175, -15.0025339
 204.8151398, -15.00173
 209.8434906, -14.9847746
 209.4269257, -14.9843588
 210.1692352, -14.9758987
 210.1783447, -14.9688396
 209.293396, -14.9640427
 211.4076843, -14.9578953
 204.1629944, -14.9430342
 203.7649689, -14.9385786
 204.968399, -14.9367924
 203.3400116, -14.9359484
 210.0911713, -14.9204998
 203.7643738, -14.9191666
 210.4694214, -14.9126558
 210.0174713, -14.9026175
 203.8422394, -14.8942842
 201.750351, -14.8852882
 201.181839, -14.8649397
 209.2294006, -14.8612471
 201.1544342, -14.8601685
 209.7936859, -14.8580084
 209.2703094, -14.857687
 209.1777954, -14.8572807
 204.6256104, -14.8524342
 209.5664215, -14.8523102
 211.1400604, -14.8512383
 204.7432098, -14.8503799
 210.1785278, -14.8494339
 209.957962, -14.8487644
 201.0136261, -14.8438549
 209.1668396, -14.8436737
 204.9628448, -14.8402681
 203.5571442, -14.8373861
