ra,dec
348.11843,-6.17765
348.11819,-6.17777
348.11796,-6.17790
348.11772,-6.17802
348.11748,-6.17814
348.11724,-6.17827
348.11701,-6.17839
348.11677,-6.17851
348.11652,-6.17864
348.11628,-6.17876
348.11604,-6.17889
348.11580,-6.17901
348.11555,-6.17914
348.11531,-6.17927
348.11506,-6.17939
348.11482,-6.17952
348.11457,-6.17965
348.11432,-6.17977
348.11407,-6.17990
348.11383,-6.18003
348.11357,-6.18016
348.11332,-6.18029
348.11307,-6.18042
348.11282,-6.18055
348.11257,-6.18068
348.11231,-6.18081
348.11206,-6.18094
348.11180,-6.18107
348.11155,-6.18120
348.11129,-6.18133
348.11103,-6.18146
348.11077,-6.18159
348.11051,-6.18173
348.11025,-6.18186
348.10999,-6.18199
348.10973,-6.18212
348.10947,-6.18226
348.10920,-6.18239
348.10894,-6.18253
348.10867,-6.18266
348.10841,-6.18279
348.10814,-6.18293
348.10787,-6.18306
348.10760,-6.18320
348.10734,-6.18334
348.10707,-6.18347
348.10680,-6.18361
348.10652,-6.18375
348.10625,-6.18388
348.10598,-6.18402
348.10571,-6.18416
348.10543,-6.18430
348.10516,-6.18444
348.10488,-6.18457
348.10460,-6.18471
348.10433,-6.18485
348.10405,-6.18499
348.10377,-6.18513
348.10349,-6.18527
348.10321,-6.18541
348.10293,-6.18556
348.10264,-6.18570
348.10236,-6.18584
348.10208,-6.18598
348.10179,-6.18612
348.10151,-6.18627
348.10122,-6.18641
348.10093,-6.18655
348.10065,-6.18670
348.10036,-6.18684
348.10007,-6.18698
348.09978,-6.18713
348.09949,-6.18727
348.09920,-6.18742
348.09890,-6.18756
348.09861,-6.18771
348.09832,-6.18786
348.09802,-6.18800
348.09773,-6.18815
348.09743,-6.18830
348.09713,-6.18844
348.09684,-6.18859
348.09654,-6.18874
348.09624,-6.18889
348.09594,-6.18904
348.09564,-6.18919
348.09534,-6.18933
348.09503,-6.18948
348.09473,-6.18963
348.09443,-6.18978
348.09412,-6.18993
348.09382,-6.19009
348.09351,-6.19024
348.09320,-6.19039
348.09289,-6.19054
348.09259,-6.19069
348.09228,-6.19084
348.09197,-6.19100
348.09165,-6.19115
348.09134,-6.19130
348.09103,-6.19146
348.09072,-6.19161
348.09040,-6.19177
348.09009,-6.19192
348.08977,-6.19208
348.08946,-6.19223
348.08914,-6.19239
348.08882,-6.19254
348.08850,-6.19270
348.08818,-6.19285
348.08786,-6.19301
348.08754,-6.19317
348.08722,-6.19333
348.08690,-6.19348
348.08657,-6.19364
348.08625,-6.19380
348.08592,-6.19396
348.08560,-6.19412
348.08527,-6.19428
348.08495,-6.19444
348.08462,-6.19460
348.08429,-6.19476
348.08396,-6.19492
348.08363,-6.19508
348.08330,-6.19524
348.08297,-6.19540
348.08263,-6.19556
348.08230,-6.19573
348.08197,-6.19589
348.08163,-6.19605
348.08129,-6.19621
348.08096,-6.19638
348.08062,-6.19654
348.08028,-6.19670
348.07994,-6.19687
348.07960,-6.19703
348.07926,-6.19720
