RA_d,DEC_d
58.77383,23.05478
57.55246,23.81364
59.375627,25.279715
57.4205221,23.341575
55.33275,25.11369
54.9738396,26.7169833
57.42221,26.14822
56.552754,23.587208
54.8055,25.7305
55.734333,22.377361
57.34133,24.91211
58.17425,26.76967
54.748367,24.905783
57.79808,24.38703
57.02071,23.40383
57.49304,25.10592
55.614992,25.047003
56.936115,22.398155
56.49042,24.05144
57.553625,24.351722
54.84192,24.04422
55.13121,23.55067
57.01329,23.20161
57.00542,23.13697
57.08971,24.57883
57.056621,26.854092
57.211075,23.075103
55.377958,25.197861
58.12879,24.54436
56.624837,21.522272
56.24550514,22.03245212
55.713892,24.765456
56.719054,24.288069
55.777052,22.297075
57.40225,24.29614
55.85479,22.89572
57.451812,22.180164
57.8642858,23.2671897
59.396892,22.985668
55.02488,25.67256
58.892785,22.391502
56.58092,26.04328
56.46088,23.74367
56.70908,22.21183
54.35992,24.56708
56.19933,24.21467
57.16375,24.83894
57.06362,23.701
56.4074529,24.3356189
56.71917,23.64539
53.98354,25.36661
58.143945,24.422903
56.99737,24.59372
56.74779,24.87956
56.619258,24.758994
56.07396,24.44636
55.16796,25.84678
56.701304,24.301675
57.820196,23.826575
57.485392,23.218619
54.573746,25.504489
58.18896,25.27986
57.03729,23.70656
55.806074,24.183674
58.219591,21.507969
58.147132,25.017994
56.742734,24.028196
55.33058,23.86172
56.542,26.00258
56.55971,23.85069
57.16842,24.60953
56.286474,24.842138
58.00871,23.26253
56.159362,21.661703
58.03312,25.46522
55.5840762,24.4683947
56.8121825,22.4700481
58.6165,23.83542
58.34633,23.32231
57.675554,23.492624
56.99887,24.73133
55.10267,22.81672
54.897739,24.118422
55.613765,22.573578
56.26617,26.18483
56.7105721,23.2391867
57.0737354,25.0478639
55.180183,25.198736
57.09454,23.46197
55.81913,23.83383
56.046396,22.324153
57.81588,23.28228
57.09483,23.97256
57.659946,23.072411
56.11629,23.99997
56.64496,22.9355
55.35279,25.385
56.421937,23.902765
57.579667,25.224097
59.04742,25.06022
57.766292,22.404753
54.3954504,24.2365483
54.906788,24.816975
56.6125,24.45394
54.94992,23.84917
54.791024,23.981308
55.49888,26.46111
56.26196,25.08886
56.5045,26.9160158
56.42988,26.04078
56.539533,26.138858
55.902608,24.2323
56.986,26.53092
57.73913,24.41244
57.14783,24.20094
57.082628,23.603373
57.029642,24.142131
56.11054,24.48656
56.28093,25.5543217
55.007529,22.989111
56.80488,24.01261
56.836802,25.086767
56.544221,25.395144
58.275733,21.877325
55.73558,24.08281
54.399771,24.925567
57.97708,23.55883
56.7515,23.36578
55.3435,24.39775
55.49554,25.329
54.811421,25.849175
56.412982,22.073175
56.96225,24.50525
56.426354,24.069815
58.56521,25.35528
55.89796,26.35864
56.00135,22.266903
55.53683,23.58811
56.89375,24.03975
56.85465,24.254825
55.80792,24.13897
56.5418379,23.3400183
56.30179,22.69753
56.686583,24.749614
56.531453,23.745203
55.92975,24.54894
56.426871,25.057092
58.663,24.5985
55.423296,24.333472
57.03196,25.31536
56.51525,25.87475
55.626506,25.574179
56.89033,24.68422
56.2008966,24.2894681
57.452704,26.109306
55.215865,23.230789
58.264,26.028981
54.31883,23.18461
55.69625,25.19919
57.12812,23.70664
57.243683,23.201169
59.45567,22.14206
56.10992,26.04183
55.98204,24.42639
58.015067,23.289317
58.320579,24.973678
57.765945,22.843946
56.686952,23.618773
58.00683,25.02486
55.41596,24.87511
56.91854,24.36458
57.14075,24.03311
55.682472,25.535126
57.4865,25.37308
56.8445,23.73531
55.390475,25.113522
56.66767,23.49778
56.80637,23.71431
57.25975,25.72344
56.708675,23.53232
56.94325,24.05072
56.186888,26.109689
55.636804,26.164017
57.0703125,25.2151231
56.73237,23.94011
56.22963,25.36147
57.83238,23.06786
57.05737,23.63322
56.721941,22.880926
57.08715,25.192211
57.723804,23.716933
57.89171,24.56919
58.13888,23.85194
58.82542,24.28494
56.748292,23.200511
55.45017,26.78917
55.83571,24.44308
58.05546,26.14364
55.799,25.525623
57.13262,24.03306
56.703251,23.068745
54.945367,25.428664
57.146608,22.895149
56.91396,24.45897
57.63308,22.14661
58.35342,23.40419
55.42667,23.91594
58.29229,23.05303
56.877492,24.370589
58.01863,24.24442
57.33579,24.77667
58.39796,26.11897
56.56596,22.04475
57.107329,22.6514
54.877267,23.917595
54.95708,23.05736
58.220843,21.781883
56.825587,24.036506
56.1088154,22.3982522
58.01492,25.02056
57.23196,24.36114
55.703808,24.482933
54.59407919,22.49968483
55.8522292,23.2259325
56.10121,24.42625
57.21012,25.29861
56.811708,25.371769
56.62992,24.11736
58.5899504,24.0756908
56.968856,23.94124
55.51217,23.93164
56.48862,25.18692
56.71917,23.64539
54.67845,23.297889
56.142842,23.856911
58.111775,23.404
57.98962,25.80878
55.545779,25.743143
56.006965,23.862848
55.826837,26.673519
57.055967,22.314147
56.79592,24.23103
56.46004,22.60167
56.701304,24.301675
56.877375,26.279125
57.91365,24.548906
58.29012,23.56333
57.32545,24.142742
55.40068423,25.61931671
56.381304,23.869881
57.54483,24.47822
57.18355,23.888425
55.78575,23.95278
58.060683,22.885714
55.63,24.82267
55.704593,24.171024
56.26317,23.11631
56.59595,24.605059
57.850725,22.833817
57.352108,22.186122
57.82479,26.02289
58.17579,25.17844
56.89325,26.2815
57.63779,24.33947
56.11629,23.99997
57.486642,24.985392
55.7296513,24.4930772
57.913279,23.855103
54.680403,25.374271
56.46642,25.16719
56.84138,26.37989
56.30475,24.25661
57.944808,25.382047
59.21379,25.04039
55.8675,24.892
56.55417,27.03667
56.364617,23.632575
57.84946,22.11339
56.3505188,24.8860017
57.136871,24.657756
54.379458,23.768753
57.06925,26.50333
55.806074,24.183674
57.387617,24.534106
55.17996,22.83169
58.33996,23.98172
57.771136,26.614311
56.836802,25.086767
55.20787,26.05931
56.774098,23.759726
56.28763,25.54703
59.33325,23.07658
58.205504,24.093506
56.73787,23.25069
56.146833,24.062739
58.219625,25.307061
55.362,24.01736
55.67458,24.19953
56.14755,24.001353
55.619373,25.016804
56.99887,24.73133
55.519649,23.943201
54.778046,23.999317
58.084267,22.186997
56.60046,24.50364
55.48633,23.97872
53.737425,24.71275
57.09483,23.97256
56.221708,24.018472
55.045481,26.111404
57.238942,24.328839
56.73237,23.94011
55.65392,25.23269
56.112,24.40883
56.443362,22.113069
56.286164,24.402693
56.221272,23.573069
57.957558,26.397775
54.1012333,24.7414347
57.915508,22.170228
55.67154,24.02861
58.211829,24.286025
56.335746,26.615825
56.403087,25.982145
56.417371,24.627244
56.038862,25.887097
58.522192,23.566603
57.53504,25.54892
56.80637,23.71431
57.82479,26.02289
54.94308,23.98144
56.94775,23.90764
56.887692,25.638517
56.497654,25.05165
57.259726,23.252455
57.45671,22.89875
56.2809662,22.2935472
57.65588,22.469
56.830308,24.643086
57.884658,23.912136
56.98596,24.25892
54.885229,23.832028
