RA_d,DEC_d,Name,SpT,e_SpT,Teff,Vmag,B-V,Icmag,V-Ic,logL*,M*,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,Cl,Notes,Simbad,_RA,_DE
67.81017,27.17166,V1320 Tau,M0.50,1.0,3700.0,,,,,,,,,,,,,,,3,"c,f",Simbad,67.81017,27.17166
66.18575,26.17063,IRAS 04216+2603,M0.50,1.0,3700.0,,,,,,,,,,,,,,,2,"c,f",Simbad,66.18575,26.17063
68.32946,22.77618,2MASS J04331907+2246342,M0.50,1.0,3700.0,19.15,1.66,15.73,3.42,-1.45,,,,,,,0.46,0.06,,2,"b,f",Simbad,68.32946,22.77617
68.5458,22.86237,2MASS J04341099+2251445,M1,1.0,3630.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.5458,22.86237
65.08935,28.23032,2MASS J04202144+2813491,M1,1.0,3630.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.08935,28.23032
68.38662,18.01212,2MASS J04333278+1800436,M1,1.0,3630.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.38662,18.01212
65.69945,26.76474,IRAS F04196+2638,M1,1.0,3630.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.69945,26.76474
64.62124,28.43864,2MASS J04182909+2826191,M1,1.0,3630.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.62124,28.43864
63.92828,29.1666,IRAS 04125+2902,M1.25,0.25,3595.0,,,,,,,,,,,,,,,2,"c,f",Simbad,63.92828,29.1666
63.92828,29.1666,IRAS 04125+2902,M1.25,1.0,3595.0,,,,,,,,,,,,,,,,"c,f",Simbad,63.92828,29.1666
67.99867,18.35847,2MASS J04315968+1821305,M1.50,0.5,3560.0,,,,,,,,,,,,,,,2,"c,f",Simbad,67.99867,18.35847
65.56983,26.91586,2MASS J04221675+2654570,M1.50,1.0,3560.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.56983,26.91586
64.54494,25.33261,V409 Tau,M1.50,1.0,3560.0,,,,,,,,,,,,,,4.754,2,c,Simbad,64.54494,25.33261
64.52417,28.36861,[SS94] V410 Anon 17,M1.50,1.0,3560.0,,,,,,,,,,,,,,,,"c,f",Simbad,64.52417,28.36861
68.96292,22.87782,2MASS J04355109+2252401,M1.50,1.0,3560.0,,,,,,,,,,,,,,,,"c,f",Simbad,68.96292,22.87782
68.41273,22.45577,2MASS J04333905+2227207,M1.75,1.0,3525.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.41273,22.45577
64.4569,28.49341,IRAS F04147+2822,M2,1.0,3490.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.4569,28.49341
65.78237,28.09926,IRAS 04200+2759,M2,1.0,3490.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.78237,28.09926
69.18733,8.90678,CK Tau,M2:e,1.0,3490.0,,,,,,,,,,,,,,,,"c,f",Simbad,69.18733,8.90678
